using 2 threads
data is in ../pdb/
found 105 table definitions
found 24299 candidates
found 21783 inclusions
t000[c000]	t002[c002]
t000[c000]	t012[c000]
t000[c000]	t020[c000]
t000[c000]	t026[c000]
t000[c000]	t031[c000]
t000[c000]	t039[c000]
t000[c000]	t080[c000]
t000[c000]	t086[c000]
t000[c000]	t089[c000]
t000[c000]	t091[c000]
t000[c000]	t095[c000]
t000[c001]	t002[c000]
t000[c001]	t002[c002]
t000[c001]	t003[c001]
t000[c001]	t010[c001]
t000[c001]	t014[c001]
t000[c001]	t023[c001]
t000[c001]	t031[c001]
t000[c001]	t036[c000]
t000[c001]	t080[c001]
t000[c001]	t081[c001]
t000[c001]	t082[c001]
t000[c001]	t083[c001]
t000[c001]	t089[c001]
t000[c008]	t031[c002]
t000[c008]	t080[c002]
t000[c008]	t089[c002]
t000[c009]	t072[c003]
t000[c010]	t004[c006]
t000[c010]	t005[c009]
t000[c010]	t005[c010]
t000[c010]	t005[c011]
t000[c010]	t007[c006]
t000[c010]	t057[c004]
t000[c010]	t057[c010]
t000[c010]	t057[c014]
t000[c010]	t058[c004]
t000[c010]	t058[c012]
t000[c010]	t058[c021]
t000[c010]	t085[c012]
t000[c010]	t085[c027]
t000[c010]	t087[c007]
t000[c010]	t087[c017]
t000[c010]	t087[c021]
t000[c010]	t087[c027]
t000[c010]	t087[c031]
t000[c010]	t087[c044]
t000[c010]	t093[c010]
t000[c010]	t096[c011]
t000[c010]	t097[c012]
t000[c010]	t097[c013]
t000[c010]	t097[c014]
t000[c010]	t098[c003]
t000[c010]	t099[c008]
t000[c010]	t100[c012]
t000[c010]	t100[c024]
t000[c010]	t100[c027]
t001[c001]	t002[c000]
t001[c001]	t002[c002]
t001[c001]	t003[c001]
t001[c001]	t007[c001]
t001[c001]	t010[c001]
t001[c001]	t014[c001]
t001[c001]	t023[c001]
t001[c001]	t028[c001]
t001[c001]	t031[c001]
t001[c001]	t036[c000]
t001[c001]	t080[c001]
t001[c001]	t081[c001]
t001[c001]	t082[c001]
